table_name,measure_name,expression,formatString,isHidden
dashb_C2_Medidas,LIC Total,"['', ""DISTINCTCOUNT ( 'dw_sem.v_fact_licitaciones_sem_v2'[licitacion_bk] )""]",0,False
dashb_C2_Medidas,% LIC por Estado (tarjeta),"['', 'VAR Numerador = [LIC Conteo]', 'VAR Denominador =', '    CALCULATE(', '        [LIC Conteo],', ""        REMOVEFILTERS('dw_sem.v_fact_licitaciones_sem_v2'[estado_licitacion])"", '    )', 'RETURN', 'DIVIDE(Numerador, Denominador)']",0.00\ %;-0.00\ %;0.00\ %,False
dashb_C2_Medidas,LIC % (tabla por estado_licitacion),"['', 'DIVIDE(', '    [LIC Conteo],', '    [LIC Total (sin estado licitacion)]', ')', '']",0.00\ %;-0.00\ %;0.00\ %,False
dashb_C2_Medidas,LIC Total (sin estado licitacion),"['', 'CALCULATE(', '    [LIC Conteo],', ""    REMOVEFILTERS( 'dw_sem.v_fact_licitaciones_sem_v2'[estado_licitacion] )"", ')']",0,False
CRUCE_codigo_rango_resumen_v1,KPI4_Licitaciones_sin_OC,"['', 'SUM ( CRUCE_codigo_rango_resumen_v1[lic_codigos_distintos] )', '- SUM ( CRUCE_codigo_rango_resumen_v1[matches_distintos] )']","#,0",False
CRUCE_codigo_rango_resumen_v1,LIC con OC asociada,"['', 'SUM ( CRUCE_codigo_rango_resumen_v1[matches_distintos] )']","#,0",False
CRUCE_codigo_rango_resumen_v1,LIC sin OC asociada,"['', 'SUM ( CRUCE_codigo_rango_resumen_v1[lic_codigos_distintos] )', '- SUM ( CRUCE_codigo_rango_resumen_v1[matches_distintos] )']","#,0",False
D4 NoCruce Medidas,KPI LIC con OC asociada,"['', 'SUM ( CRUCE_codigo_rango_resumen_v1[matches_distintos] )']","#,0",False
D4 NoCruce Medidas,Total LIC analizadas,"['', 'SUM ( CRUCE_codigo_rango_resumen_v1[lic_codigos_distintos] )']",0,False
D4 NoCruce Medidas,KPI LIC sin OC asociada,"['', '[Total LIC analizadas] - [KPI LIC con OC asociada]']","#,0",False
D4 NoCruce Medidas,KPI OC con LIC asociada,"['', 'SUM ( CRUCE_codigo_rango_resumen_v1[oc_codigos_licitacion_distintos] )']","#,0",False
D4 NoCruce Medidas,Total OC analizadas,"['', 'VAR oc_con_lic =', '    SUM ( CRUCE_codigo_rango_resumen_v1[oc_codigos_licitacion_distintos] )', 'VAR pct_oc =', '    SUM ( CRUCE_codigo_rango_resumen_v1[pct_match_sobre_oc] ) / 100', 'RETURN', '    ROUND ( DIVIDE ( oc_con_lic, pct_oc ), 0 )']",,False
D4 NoCruce Medidas,KPI OC sin LIC asociada,"['', '[Total OC analizadas] - [KPI OC con LIC asociada]', '']","#,0",False
D6 Medidas,D6 LIC Total,SUM ( D6_trend_por_mes[lic_total] ),"#,0",False
D6 Medidas,D6 LIC con OC,SUM ( D6_trend_por_mes[lic_con_oc] ),"#,0",False
D6 Medidas,D6 OC Total,SUM ( D6_trend_por_mes[oc_total] ),0,False
D6 Medidas,D6 OC con LIC,SUM ( D6_trend_por_mes[oc_con_lic] ),0,False
D6 Medidas,D6 % LIC con OC,"['', 'VAR denom = [D6 LIC Total]', 'RETURN IF ( denom = 0 || ISBLANK(denom), BLANK(), DIVIDE( [D6 LIC con OC], denom ) )']",0.00\ %;-0.00\ %;0.00\ %,False
D6 Medidas,D6 % OC con LIC,"['', 'VAR denom = [D6 OC Total]', 'RETURN IF ( denom = 0 || ISBLANK(denom), BLANK(), DIVIDE( [D6 OC con LIC], denom ) )']",0.00\ %;-0.00\ %;0.00\ %,False
D6 Medidas,D6 OC con LIC (tabla OC),SUM ( D6_oc_con_sin_lic_por_mes[oc_con_lic] ),0,False
D6 Medidas,D6 OC Total (tabla OC),SUM ( D6_oc_con_sin_lic_por_mes[oc_total] ),0,False
