moneda_norm,n,avg_monto,std_monto,p50,p90,p95,p99,max_monto
CLP,4508018,6133928.721345137,311662023.0008,1218465.99,8886013.693000019,18863880.0,67352810.0,403570899169.34
USD,12744,75035.22826349655,754269.85712594,6240.0,77637.68600000018,200916.0,1281130.2,37327324.0
CLF,11901,4815.308672380473,126848.37051583,107.1,1695.02,5088.44,22258.81,7278624.0
UTM,818,12929.162151589242,230173.69089904,65.31,431.28,2794.857999999989,85117.43480000107,5708406.2
EUR,35,83037.10857142857,335040.36784828,5618.83,103391.70800000013,251998.03299999994,1394013.9653999943,1974969.99
