periodo,n_lic,n_oc
2024-09,147755,372489
2024-10,199155,487577
2024-11,475782,427333
2024-12,312983,321890
2025-01,0,30659
2025-02,452154,288623
2025-03,485478,35075
2025-04,494536,404011
2025-05,470000,380491
2025-06,407938,370198
2025-07,372640,383416
2025-08,358505,367381
2025-09,265167,337062
2025-10,190988,350607
