code,org_name,lic_name,oc_name
115285,I MUNICIPALIDAD DE FLORIDA,,
115294,I MUNICIPALIDAD DE YUNGAY,,
115297,ILUSTRE MINICIPALIDAD DE COMBARBALA,ILUSTRE MINICIPALIDAD DE COMBARBALA,115297
115299,I MUNICIPALIDAD DE PORTEZUELO,,
115301,ILUSTRE MUNICIPALIDAD DE RIO VERDE,,
115302,I MUNICIPALIDAD DE PAPUDO,,
115303,I MUNICIPALIDAD DE VICUNA,I MUNICIPALIDAD DE VICUNA,115303
115304,I MUNICIPALIDAD DE MARCHIGUE,,
115311,I MUNICIPALIDAD DE MULCHEN,I MUNICIPALIDAD DE MULCHEN,
115313,I MUNICIPALIDAD DE SAAVEDRA,I MUNICIPALIDAD DE SAAVEDRA,
115457,I MUNICIPALIDAD DE SAN JOSE DE MAIPO,,
115459,I MUNICIPALIDAD DE CABILDO,,115459
115463,I MUNICIPALIDAD DE O HIGGINS,,
115464,I MUNICIPALIDAD DE MAFIL,,
115468,I MUNICIPALIDAD DE NOGALES,,
