dataset,file,rows,columns_n,dup_rows_intra_month
OC,OC_2024-09.csv,396516,78,0
OC,OC_2024-10.csv,508095,78,0
OC,OC_2024-11.csv,470710,78,0
OC,OC_2024-12.csv,411596,78,0
OC,OC_2025-01.csv,360815,78,0
OC,OC_2025-02.csv,354933,78,0
OC,OC_2025-03.csv,2,1,0
OC,OC_2025-04.csv,467832,78,0
OC,OC_2025-05.csv,438074,78,0
OC,OC_2025-06.csv,436932,78,0
OC,OC_2025-07.csv,454386,78,0
OC,OC_2025-08.csv,443201,78,0
OC,OC_2025-09.csv,408749,78,0
OC,OC_2025-10.csv,470339,78,0
