moneda_norm,n,avg_monto,std_monto,p50,p90,p95,p99,max_monto
CLF,3545,31565966.10409027,1037574579.7561,2000.0,20439.0,51582.0,44705883.0,35681340600.0
CLP,4025579,116508235.54779996,4229899409.1171,14824438.0,214291450.0,326539040.0,1606701348.0,3357380936000.0
USD,6222,2626140.154934105,10380436.2299,42449.0,3725100.0,21965068.0,34755216.0,209957248.0
,441,3731126.351473923,40891674.8073,4345.0,232566.0,809276.0,4578324.0,495616000.0
