nombre_organismo,n
SERVICIO NACIONAL DEL PATRIMONIO CULTURAL,85752
COMANDO DE APOYO A LA FUERZA,81691
I MUNICIPALIDAD DE PELLUHUE,78634
DIRECCION DE ABASTECIMIENTO DE LA ARMADA,72465
I MUNICIPALIDAD DE LA LIGUA,64893
DIRECCION DE LOGISTICA DE CARABINEROS,64050
I MUNICIPALIDAD DE COPIAPO,60608
COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO,54610
SERVICIO DE SALUD DE TALCAHUANO HOSPITAL,53902
JUNTA NACIONAL DE JARDINES         INFANTILES,49532
