periodo,lic_total,n_oferta_moneda_revisar,n_oferta_vacia,pct_oferta_moneda_revisar
2024-09,11496.0,0.0,0.0,0.0
2024-10,15410.0,0.0,0.0,0.0
2024-11,15068.0,0.0,0.0,0.0
2024-12,8230.0,0.0,0.0,0.0
2025-01,0.0,0.0,0.0,0.0
2025-02,8481.0,0.0,0.0,0.0
2025-03,9325.0,0.0,0.0,0.0
2025-04,10357.0,0.0,0.0,0.0
2025-05,9654.0,0.0,0.0,0.0
2025-06,9642.0,0.0,0.0,0.0
2025-07,10288.0,0.0,0.0,0.0
2025-08,9566.0,0.0,0.0,0.0
2025-09,8682.0,0.0,0.0,0.0
2025-10,9920.0,0.0,0.0,0.0
