mes,col_lic,col_oc,lic_keys,oc_keys,matches,pct_match_lic,pct_match_oc,ejemplos,lic_meta,oc_meta,status
2024-10,CodigoExterno,CodigoLicitacion,15410,22653,363,2.3556132381570407,1.6024367633426035,"['1000813-54-LE24', '1006-23-L124', '1028871-37-L124', '1028897-45-L124', '1028897-49-L124', '1035-39-L124', '1043-31-L124', '1043030-27-L124', '1049242-34-LE24', '1049242-35-LE24']","{'encoding': 'latin1', 'sep': ';', 'ncols': 105}","{'encoding': 'latin1', 'sep': ';', 'ncols': 78}",OK
2024-11,CodigoExterno,CodigoLicitacion,7105,22201,365,5.1372273047149895,1.6440700869330211,"['1004-54-L124', '1019-122-L124', '1028897-73-L124', '1040538-43-L124', '1050283-59-LE24', '1052231-9-CO24', '1069417-183-LE24', '1079566-72-LE24', '1079596-70-LE24', '1082957-97-L124']","{'encoding': 'latin1', 'sep': ';', 'ncols': 105}","{'encoding': 'latin1', 'sep': ';', 'ncols': 78}",OK
2024-12,CodigoExterno,CodigoLicitacion,8215,24272,454,5.526475958612295,1.8704680290046145,"['1016-28-LE24', '1019-132-LE24', '1028-94-LE24', '1030-50-LE24', '1038-36-LE24', '1048-114-LE24', '1057387-79-L124', '1057422-37-L124', '1057422-38-L124', '1057498-44-LE24']","{'encoding': 'latin1', 'sep': ';', 'ncols': 105}","{'encoding': 'latin1', 'sep': ';', 'ncols': 78}",OK
