periodo,kpi_id,valor_sql,estado_periodo,detalle_estado,ts_run
2024-09,L1,4392264989332.0,OK,,2026-01-23T00:19:20
2024-09,L2,147755.0,OK,,2026-01-23T00:19:20
2024-09,L3,6684.0,OK,,2026-01-23T00:19:20
2024-09,O1,1420517520409.36,OK,,2026-01-23T00:19:20
2024-09,O2,324419.0,OK,,2026-01-23T00:19:20
2024-09,O3,0.07309760497248691,OK,,2026-01-23T00:19:20
2024-09,C2,0.32341343790949195,OK,,2026-01-23T00:19:20
2024-09,C1_OC,1420517520409.36,OK,,2026-01-23T00:19:20
2024-09,C1_LIC,4392264989332.0,OK,,2026-01-23T00:19:20
2024-10,L1,11155407866065.0,OK,,2026-01-23T00:19:22
2024-10,L2,199155.0,OK,,2026-01-23T00:19:22
2024-10,L3,9041.0,OK,,2026-01-23T00:19:22
2024-10,O1,2458862096787.51,OK,,2026-01-23T00:19:22
2024-10,O2,477995.0,OK,,2026-01-23T00:19:22
2024-10,O3,0.04584432310673072,OK,,2026-01-23T00:19:22
2024-10,C2,0.22041884315744506,OK,,2026-01-23T00:19:22
2024-10,C1_OC,2458862096787.51,OK,,2026-01-23T00:19:22
2024-10,C1_LIC,11155407866065.0,OK,,2026-01-23T00:19:22
2024-11,L1,64117901278730.0,OK,,2026-01-23T00:19:24
2024-11,L2,475782.0,OK,,2026-01-23T00:19:24
2024-11,L3,8072.0,OK,,2026-01-23T00:19:24
2024-11,O1,1974167604373.61,OK,,2026-01-23T00:19:24
2024-11,O2,429335.0,OK,,2026-01-23T00:19:24
2024-11,O3,0.032851197434423336,OK,,2026-01-23T00:19:24
2024-11,C2,0.030789647898667356,OK,,2026-01-23T00:19:24
2024-11,C1_OC,1974167604373.61,OK,,2026-01-23T00:19:24
2024-11,C1_LIC,64117901278730.0,OK,,2026-01-23T00:19:24
2024-12,L1,30986884996273.0,OK,,2026-01-23T00:19:25
2024-12,L2,312983.0,OK,,2026-01-23T00:19:25
2024-12,L3,5907.0,OK,,2026-01-23T00:19:25
2024-12,O1,2423135970349.91,OK,,2026-01-23T00:19:25
2024-12,O2,373131.0,OK,,2026-01-23T00:19:25
2024-12,O3,0.06656058885648493,OK,,2026-01-23T00:19:25
2024-12,C2,0.0781987595926908,OK,,2026-01-23T00:19:25
2024-12,C1_OC,2423135970349.91,OK,,2026-01-23T00:19:25
2024-12,C1_LIC,30986884996273.0,OK,,2026-01-23T00:19:25
2025-01,L1,0.0,EXCEPCION,LIC_SCHEMA_ANOM,2026-01-23T00:19:25
2025-01,L2,0.0,EXCEPCION,LIC_SCHEMA_ANOM,2026-01-23T00:19:25
2025-01,L3,0.0,EXCEPCION,LIC_SCHEMA_ANOM,2026-01-23T00:19:25
2025-01,O1,0.0,EXCEPCION,LIC_SCHEMA_ANOM,2026-01-23T00:19:25
2025-01,O2,0.0,EXCEPCION,LIC_SCHEMA_ANOM,2026-01-23T00:19:25
2025-01,O3,0.0,EXCEPCION,LIC_SCHEMA_ANOM,2026-01-23T00:19:25
2025-01,C2,,EXCEPCION,LIC_SCHEMA_ANOM,2026-01-23T00:19:25
2025-01,C1_LIC,0.0,EXCEPCION,LIC_SCHEMA_ANOM,2026-01-23T00:19:25
2025-01,C1_OC,0.0,EXCEPCION,LIC_SCHEMA_ANOM,2026-01-23T00:19:25
2025-02,L1,31367287959657.0,OK,,2026-01-23T00:19:27
2025-02,L2,452154.0,OK,,2026-01-23T00:19:27
2025-02,L3,6205.0,OK,,2026-01-23T00:19:27
2025-02,O1,3629598258851.0,OK,,2026-01-23T00:19:27
2025-02,O2,316147.0,OK,,2026-01-23T00:19:27
2025-02,O3,0.22401528493371703,OK,,2026-01-23T00:19:27
2025-02,C2,0.1157128491159071,OK,,2026-01-23T00:19:27
2025-02,C1_OC,3629598258851.0,OK,,2026-01-23T00:19:27
2025-02,C1_LIC,31367287959657.0,OK,,2026-01-23T00:19:27
2025-03,L1,44894748340414.0,NO-OP,OC_SIZE_ANOM,2026-01-23T00:19:28
2025-03,L2,485478.0,NO-OP,OC_SIZE_ANOM,2026-01-23T00:19:28
2025-03,L3,6813.0,NO-OP,OC_SIZE_ANOM,2026-01-23T00:19:28
2025-03,O1,0.0,NO-OP,OC_SIZE_ANOM,2026-01-23T00:19:28
2025-03,O2,0.0,NO-OP,OC_SIZE_ANOM,2026-01-23T00:19:28
2025-03,O3,0.0,NO-OP,OC_SIZE_ANOM,2026-01-23T00:19:28
2025-03,C2,0.0,NO-OP,OC_SIZE_ANOM,2026-01-23T00:19:28
2025-03,C1_LIC,44894748340414.0,NO-OP,OC_SIZE_ANOM,2026-01-23T00:19:28
2025-03,C1_OC,0.0,NO-OP,OC_SIZE_ANOM,2026-01-23T00:19:28
2025-04,L1,92353739103383.0,OK,,2026-01-23T00:19:30
2025-04,L2,494536.0,OK,,2026-01-23T00:19:30
2025-04,L3,6805.0,OK,,2026-01-23T00:19:30
2025-04,O1,2487967844286.03,OK,,2026-01-23T00:19:30
2025-04,O2,405677.0,OK,,2026-01-23T00:19:30
2025-04,O3,0.05598017727127344,OK,,2026-01-23T00:19:30
2025-04,C2,0.02693954644869266,OK,,2026-01-23T00:19:30
2025-04,C1_OC,2487967844286.03,OK,,2026-01-23T00:19:30
2025-04,C1_LIC,92353739103383.0,OK,,2026-01-23T00:19:30
2025-05,L1,42306062431174.0,OK,,2026-01-23T00:19:32
2025-05,L2,470000.0,OK,,2026-01-23T00:19:32
2025-05,L3,6602.0,OK,,2026-01-23T00:19:32
2025-05,O1,2227616115190.4,OK,,2026-01-23T00:19:32
2025-05,O2,376060.0,OK,,2026-01-23T00:19:32
2025-05,O3,0.05452801293350666,OK,,2026-01-23T00:19:32
2025-05,C2,0.05265477303198371,OK,,2026-01-23T00:19:32
2025-05,C1_OC,2227616115190.4,OK,,2026-01-23T00:19:32
2025-05,C1_LIC,42306062431174.0,OK,,2026-01-23T00:19:32
2025-06,L1,62517889216774.0,OK,,2026-01-23T00:19:34
2025-06,L2,407938.0,OK,,2026-01-23T00:19:34
2025-06,L3,6406.0,OK,,2026-01-23T00:19:34
2025-06,O1,2233799117422.85,OK,,2026-01-23T00:19:34
2025-06,O2,372131.0,OK,,2026-01-23T00:19:34
2025-06,O3,0.055262246679759236,OK,,2026-01-23T00:19:34
2025-06,C2,0.035730558811373075,OK,,2026-01-23T00:19:34
2025-06,C1_OC,2233799117422.85,OK,,2026-01-23T00:19:34
2025-06,C1_LIC,62517889216774.0,OK,,2026-01-23T00:19:34
2025-07,L1,24554102723105.0,OK,,2026-01-23T00:19:36
2025-07,L2,372640.0,OK,,2026-01-23T00:19:36
2025-07,L3,6620.0,OK,,2026-01-23T00:19:36
2025-07,O1,2402539800592.44,OK,,2026-01-23T00:19:36
2025-07,O2,382670.0,OK,,2026-01-23T00:19:36
2025-07,O3,0.056548411008865894,OK,,2026-01-23T00:19:36
2025-07,C2,0.09784677647095165,OK,,2026-01-23T00:19:36
2025-07,C1_OC,2402539800592.44,OK,,2026-01-23T00:19:36
2025-07,C1_LIC,24554102723105.0,OK,,2026-01-23T00:19:36
2025-08,L1,19287562762879.0,OK,,2026-01-23T00:19:37
2025-08,L2,358505.0,OK,,2026-01-23T00:19:37
2025-08,L3,6281.0,OK,,2026-01-23T00:19:37
2025-08,O1,2143002185298.93,OK,,2026-01-23T00:19:37
2025-08,O2,371035.0,OK,,2026-01-23T00:19:37
2025-08,O3,0.029220781213970173,OK,,2026-01-23T00:19:37
2025-08,C2,0.11110798246750851,OK,,2026-01-23T00:19:37
2025-08,C1_OC,2143002185298.93,OK,,2026-01-23T00:19:37
2025-08,C1_LIC,19287562762879.0,OK,,2026-01-23T00:19:37
2025-09,L1,38466263120358.0,OK,,2026-01-23T00:19:38
2025-09,L2,265167.0,OK,,2026-01-23T00:19:38
2025-09,L3,5535.0,OK,,2026-01-23T00:19:38
2025-09,O1,1948392983839.73,OK,,2026-01-23T00:19:38
2025-09,O2,340311.0,OK,,2026-01-23T00:19:38
2025-09,O3,0.05738148087696385,OK,,2026-01-23T00:19:38
2025-09,C2,0.05065199543151247,OK,,2026-01-23T00:19:38
2025-09,C1_OC,1948392983839.73,OK,,2026-01-23T00:19:38
2025-09,C1_LIC,38466263120358.0,OK,,2026-01-23T00:19:38
2025-10,L1,2742878180737.0,OK,,2026-01-23T00:19:39
2025-10,L2,190988.0,OK,,2026-01-23T00:19:39
2025-10,L3,4554.0,OK,,2026-01-23T00:19:39
2025-10,O1,2303288627430.03,OK,,2026-01-23T00:19:39
2025-10,O2,387901.0,OK,,2026-01-23T00:19:39
2025-10,O3,0.03892057036057817,OK,,2026-01-23T00:19:39
2025-10,C2,0.8397342046051589,OK,,2026-01-23T00:19:39
2025-10,C1_OC,2303288627430.03,OK,,2026-01-23T00:19:39
2025-10,C1_LIC,2742878180737.0,OK,,2026-01-23T00:19:39
